Timestamp,Total_Cars,Blue_Cars,Other_Cars,People_Count,Analysis_Time
2025-12-11T16:31:49.548949,5,3,2,1,2025-12-11 16:31:49
2025-12-11T16:31:52.209440,3,2,1,0,2025-12-11 16:31:52
2025-12-11T16:31:53.038105,3,2,1,4,2025-12-11 16:31:53
2025-12-11T16:31:53.666569,3,2,1,1,2025-12-11 16:31:53
2025-12-11T16:31:54.292438,7,4,3,2,2025-12-11 16:31:54
2025-12-11T16:31:54.947138,3,0,3,4,2025-12-11 16:31:54
2025-12-11T16:31:55.788663,6,3,3,4,2025-12-11 16:31:55
2025-12-11T16:37:50.837198,5,0,5,1,2025-12-11 16:37:50
2025-12-11T16:38:02.054229,3,0,3,0,2025-12-11 16:38:02
2025-12-11T16:38:02.297519,5,0,5,4,2025-12-11 16:38:02
2025-12-11T16:38:02.559848,7,0,7,2,2025-12-11 16:38:02
2025-12-11T16:38:02.737673,6,0,6,0,2025-12-11 16:38:02
2025-12-11T16:38:03.703931,7,0,7,2,2025-12-11 16:38:03
2025-12-11T16:38:05.853718,4,0,4,2,2025-12-11 16:38:05
2025-12-11T16:38:07.166080,5,0,5,0,2025-12-11 16:38:07
2025-12-11T16:38:08.730425,3,0,3,2,2025-12-11 16:38:08
2025-12-11T16:38:11.872804,5,0,5,0,2025-12-11 16:38:11
2025-12-11T16:38:12.948152,5,0,5,3,2025-12-11 16:38:12
2025-12-11T16:38:13.757087,5,0,5,1,2025-12-11 16:38:13
2025-12-11T16:44:06.607005,1,0,1,6,2025-12-11 16:44:06
2025-12-11T16:44:11.161853,1,0,1,6,2025-12-11 16:44:11
2025-12-11T11:20:50.533509+00:00,6,1,5,6,2025-12-11 11:20:50
2025-12-11T11:38:33.809086+00:00,8,0,8,6,2025-12-11 11:38:33
2025-12-11T11:38:38.089933+00:00,8,1,7,6,2025-12-11 11:38:38
2025-12-11T11:38:38.525160+00:00,8,1,7,6,2025-12-11 11:38:38
2025-12-11T11:40:24.752582+00:00,6,0,6,4,2025-12-11 11:40:24
2025-12-11T11:42:56.347411+00:00,3,0,3,4,2025-12-11 11:42:56
2025-12-11T11:42:57.774776+00:00,3,0,3,4,2025-12-11 11:42:57
2025-12-11T11:42:59.067749+00:00,3,0,3,4,2025-12-11 11:42:59
2025-12-11T11:43:00.161919+00:00,3,0,3,4,2025-12-11 11:43:00
2025-12-11T11:43:01.283139+00:00,3,0,3,4,2025-12-11 11:43:01
2025-12-11T11:43:02.369624+00:00,3,0,3,4,2025-12-11 11:43:02
2025-12-11T11:43:03.394324+00:00,3,0,3,4,2025-12-11 11:43:03
2025-12-11T11:43:04.439970+00:00,3,0,3,4,2025-12-11 11:43:04
2025-12-11T11:43:05.461163+00:00,3,0,3,4,2025-12-11 11:43:05
2025-12-11T11:43:06.476409+00:00,3,0,3,4,2025-12-11 11:43:06
2025-12-11T11:43:07.518622+00:00,3,0,3,4,2025-12-11 11:43:07
2025-12-11T11:43:08.547333+00:00,3,0,3,4,2025-12-11 11:43:08
2025-12-11T11:45:56.336334+00:00,4,0,4,4,2025-12-11 11:45:56
2025-12-11T11:46:01.146553+00:00,4,0,4,4,2025-12-11 11:46:01
2025-12-11T11:46:06.729610+00:00,4,0,4,4,2025-12-11 11:46:06
2025-12-11T11:46:11.504774+00:00,4,0,4,4,2025-12-11 11:46:11
2025-12-11T11:46:16.201289+00:00,4,0,4,4,2025-12-11 11:46:16
2025-12-11T11:46:21.112500+00:00,4,1,3,4,2025-12-11 11:46:21
2025-12-11T11:51:29.295961+00:00,4,0,4,5,2025-12-11 11:51:29
2025-12-11T11:51:39.859256+00:00,4,0,4,5,2025-12-11 11:51:39
2025-12-11T11:51:49.446479+00:00,4,0,4,5,2025-12-11 11:51:49
2025-12-11T11:52:11.623578+00:00,4,0,4,5,2025-12-11 11:52:11
2025-12-11T11:54:14.668069+00:00,5,0,5,5,2025-12-11 11:54:14
2025-12-11T11:54:32.784048+00:00,5,0,5,5,2025-12-11 11:54:32
2025-12-11T11:54:41.621725+00:00,5,0,5,5,2025-12-11 11:54:41
2025-12-11T11:59:53.995358+00:00,4,0,4,12,2025-12-11 11:59:53
2025-12-11T12:00:12.077953+00:00,4,0,4,12,2025-12-11 12:00:12
2025-12-11T12:01:28.530140+00:00,5,0,5,12,2025-12-11 12:01:28
